epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,299.433,0.79604,3.25122,0.95814,0.92835,0.90289,0.98128,0.82673,0.62692,0.73444,0.84129,0.000194867,0.000194867,0.000194867
2,554.404,0.55255,1.16533,0.82493,0.96081,0.95703,0.99254,0.85238,0.58201,0.53509,0.82954,0.000383128,0.000383128,0.000383128
3,810.111,0.55321,0.69453,0.82467,0.92388,0.91282,0.97682,0.83853,0.57641,0.56558,0.83256,0.000563627,0.000563627,0.000563627
4,1061.31,0.5215,0.45208,0.81644,0.85834,0.79835,0.86899,0.73427,0.63242,1.06539,0.86068,0.000553073,0.000553073,0.000553073
5,1311.65,0.47586,0.35392,0.80668,0.98833,0.98696,0.99461,0.89052,0.47972,0.31618,0.80618,0.00054143,0.00054143,0.00054143
6,1563.2,0.4337,0.30016,0.79762,0.99101,0.98532,0.99433,0.8987,0.45858,0.30391,0.80335,0.000529788,0.000529788,0.000529788
7,1813.18,0.40343,0.27178,0.79165,0.9955,0.99796,0.99498,0.91062,0.43706,0.26914,0.79772,0.000518146,0.000518146,0.000518146
8,2063.85,0.37629,0.2519,0.78701,0.99581,0.99535,0.99494,0.91138,0.43465,0.25526,0.79776,0.000506503,0.000506503,0.000506503
9,2313.86,0.35256,0.23296,0.78355,0.9941,0.98981,0.99464,0.91745,0.42208,0.27095,0.79435,0.000494861,0.000494861,0.000494861
10,2566.08,0.33849,0.22561,0.78154,0.99591,0.9938,0.99496,0.92421,0.40405,0.2515,0.79222,0.000483218,0.000483218,0.000483218
11,2817.02,0.32586,0.21995,0.77949,0.99531,0.99775,0.99491,0.92798,0.39002,0.23522,0.78997,0.000471576,0.000471576,0.000471576
12,3069.92,0.30852,0.21006,0.77704,0.9931,0.99203,0.99481,0.93556,0.37833,0.23804,0.78772,0.000459934,0.000459934,0.000459934
13,3324.22,0.29328,0.20202,0.77406,0.99869,0.99809,0.995,0.93868,0.36868,0.21546,0.78526,0.000448291,0.000448291,0.000448291
14,3576.47,0.28077,0.19361,0.77248,0.99474,0.99435,0.99476,0.94091,0.36328,0.21573,0.7849,0.000436649,0.000436649,0.000436649
15,3828.88,0.27165,0.18695,0.77091,0.999,0.99732,0.99499,0.94507,0.35329,0.20684,0.78457,0.000425006,0.000425006,0.000425006
16,4078.41,0.25696,0.1796,0.76908,0.99799,0.99903,0.995,0.94586,0.34639,0.20169,0.782,0.000413364,0.000413364,0.000413364
17,4330.86,0.24615,0.17411,0.76776,0.99858,0.99919,0.995,0.9477,0.34387,0.19794,0.78163,0.000401722,0.000401722,0.000401722
18,4586.8,0.23983,0.17157,0.76753,0.99939,0.99954,0.995,0.94901,0.34312,0.1935,0.78172,0.000390079,0.000390079,0.000390079
19,4840.12,0.23004,0.16606,0.76601,0.99805,0.9977,0.99498,0.9504,0.34253,0.19393,0.78137,0.000378437,0.000378437,0.000378437
20,5091.71,0.22111,0.16098,0.76481,0.99855,0.99966,0.995,0.95307,0.33136,0.18619,0.78038,0.000366794,0.000366794,0.000366794
